filename|mods.accessCondition#text|mods.accessCondition@type|mods.accessCondition@xlink:href|mods.genre#text|mods.genre@authority|mods.identifier#text|mods.identifier.0#text|mods.identifier.0@type|mods.identifier.1#text|mods.identifier.1@type|mods.identifier@type|mods.language.languageTerm#text|mods.language.languageTerm@type|mods.name.role.roleTerm#text|mods.name.role.roleTerm@type|mods.namenamePart|mods.originInfo.0publisher|mods.originInfo.1dateOther|mods.recordInfo.languageOfCataloging.languageTerm#text|mods.recordInfo.languageOfCataloging.languageTerm@authority|mods.recordInfo.languageOfCataloging.languageTerm@type|mods.recordInforecordContentSource|mods.recordInforecordOrigin|mods.relatedItem.titleInfotitle|mods.relatedItem@type|mods.subject.0topic|mods.subject.1topic|mods.titleInfotitle|mods@version|mods@xmlns|mods@xmlns:xlink|mods@xmlns:xsi|mods@xsi:schemaLocation|modsnote|modstypeOfResource
phoenix_3407.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1979winter|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1979 Winter|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2533.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1972fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1972 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_631.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1963fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1963 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4036.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1984spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1984 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4750.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1991fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1991 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4787.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1992fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1992 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_6351.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2000march|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2000 March|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2136.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1967march|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1967 March|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5103.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1997fall-photo|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1997 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5713.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2006fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2006 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
